experiment,map_tasks,reduce_tasks,chunk_size_kb,time_seconds,features_extracted,best_accuracy
1,1,1,100,114.58720111846924,100,0.8894
2,1,1,200,99.30578565597534,100,0.8894
3,1,1,500,97.04660177230835,100,0.8894
4,1,1,1000,98.19989824295044,100,0.8894
5,1,3,1000,88.82218265533447,100,0.8879999999999999
6,1,5,1000,103.06490921974182,100,0.8874000000000001
7,3,1,1000,83.44745397567749,100,0.8872
8,3,3,1000,80.62287878990173,100,0.883
9,3,5,1000,83.57775115966797,100,0.8879999999999999
10,5,1,1000,92.72038292884827,100,0.8863999999999999
11,5,3,1000,87.13380193710327,100,0.8878
12,5,5,1000,93.74695134162903,100,0.8865999999999999
